COUNT(i.product_id),product_category_name_english
4545,telephony
4235,auto
2767,electronics
1137,consoles_games
771,home_appliances
679,small_appliances
364,audio
297,air_conditioning
264,fixed_telephony
238,home_appliances_2
203,computers
199,signaling_and_security
83,tablets_printing_image
76,small_appliances_home_oven_and_coffee
64,dvds_blu_ray
15,portable_kitchen_food_processors
9,pc_gamer
