seller_id,sum(price)
0015a82c2db000af6aaaf3ae2ecb0532,2685
001cca7ae9ae17fb1caed9dfb1094831,25080.029975891113
001e6ad469a905060d959994f1b41e4f,250
002100f778ceb8431b7a1020ff7ab48f,1234.4999809265137
003554e2dce176b5555353e4f3555ac8,120
004c9cd9d87a3c30c522c48c4fc07416,19712.710006713867
00720abe85ba0859807595bbf045a33b,1007.5000019073486
00ab3eff1b5192e5f1a63bcecfee11c8,98
00d8b143d12632bad99c0ad66ad52825,86
00ee68308b45bc5e2660cd833c3f81cc,20260
00fc707aaaad2d31347cf883cd2dfe10,12684.900016784668
010543a62bd80aa422851e79a3bc7540,1416
010da0602d7774602cd1b3f5fb7b709e,849.4999694824219
011b0eaba87386a2ae96a7d32bb531d1,99.9800033569336
01266d4c46afa519678d16a8b683d325,90.25000095367432
013900e863eace745d3ec7614cab5b1a,1619.6999969482422
014c0679dd340a0e338872e7ec85666a,7058
014d9a685fd57276679edd00e07089e5,729.879997253418
0176f73cc1195f367f7b32db1e5b3aa8,4733.09992980957
01bcc9d254a0143f0ce9791b960b2a47,1521.2099838256836
01c97ebb5cdac52891c0ed1c37ba0012,577.4999980926514
01cf7e3d21494c41fb86034f2e714fa1,9729.36001586914
01ed254b9ff8407dfb9d99ba1e17d923,1465.9899978637695
01fd077212124329bac32490e8ef80d9,1208
01fdefa7697d26ad920e9e0346d4bd1b,14921.430118560791
0241d4d5d36f10f80c644447315af0bd,31397.700103759766
0249d282d911d23cb8b869ab49c99f53,393
024b564ae893ce8e9bfa02c10a401ece,706.4000091552734
028872bfa080090a9d0abd4f1af168f8,70.5
02a2272692e13558373c66db98f05e2e,54.97999954223633
02b72cdeb9cfcc429f1af6f4e3f3b737,522.6499938964844
02c988090b766852e088c69d7fb3b551,1618.6499786376953
02d35243ea2e497335cd0f076b45675d,5794
02dcd3e8e25bee036e32512bcf175493,1491.8999938964844
02ecc2a19303f05e59ce133fd923fff7,5264.189979553223
02f5837340d7eb4f653d676c7256523a,3883.050079345703
02f623a8eb246f3c5f7c2f96462654e6,6378
